pAsuram,Word,Meaning,
2-5-1-pArAyadhu,vAy,mouth,
2-5-1-pArAyadhu,kINda,tore,
2-5-1-pArAyadhu,sIrAn,one who has the wealth of valour (due to that act),
2-5-1-pArAyadhu,emmAnai,being my lord,
2-5-1-pArAyadhu,thoNdar thangaL,"those who surrendered unto him, their",
2-5-1-pArAyadhu,sindhaiyuLLE,in the hearts,
2-5-1-pArAyadhu,muLaiththu,having been born,
2-5-1-pArAyadhu,ezhundha,which nurtured,
2-5-1-pArAyadhu,thIm,enjoyable,
2-5-1-pArAyadhu,karumbinai,one who is sweet like sugarcane,
2-5-1-pArAyadhu,pOr,set to battle,
2-5-1-pArAyadhu,Anai,"the elephant named kuvalayApIdam, its",
2-5-1-pArAyadhu,kombu osiththa,who broke the tusk,
2-5-1-pArAyadhu,pOr ERRinai,one who is like a lion in battle,
2-5-1-pArAyadhu,puNar,being united,
2-5-1-pArAyadhu,marudham,the two marudha trees,
2-5-1-pArAyadhu,iRa,to snap and fall down,
2-5-1-pArAyadhu,nadandha,one who entered in between those trees,
2-5-1-pArAyadhu,pon kunRinai,one who is beautiful like a golden mountain,
2-5-1-pArAyadhu,kAr,huge,
2-5-1-pArAyadhu,Anai,SrI gajEndhrAzhwAn-s,
2-5-1-pArAyadhu,idar,danger,
2-5-1-pArAyadhu,kadindha,one who eliminated,
2-5-1-pArAyadhu,kaRpagaththai,the most magnanimous emperumAn who grants the desires similar to a kalpaka tree,
2-5-1-pArAyadhu,thalasayanam,sthala sayanam (where he rests on the ground),
2-5-1-pArAyadhu,kadal mallai,in thirukkadalmallai,
2-5-1-pArAyadhu,nAn kaNdadhu,I got to see,
2-5-2-pUNdavaththam,avaththam,some useless acts,
2-5-2-pUNdavaththam,pUNdu,taking up,
2-5-2-pUNdavaththam,piRarkku,for lowly people,
2-5-2-pUNdavaththam,adaindhu,holding on (to them),
2-5-2-pUNdavaththam,thoNdupattu,serving,
2-5-2-pUNdavaththam,poy,FALSE,
2-5-2-pUNdavaththam,nUlai,scriptures of those who reject vEdham,
2-5-2-pUNdavaththam,Odhi,learning (those),
2-5-2-pUNdavaththam,mey nUl enRum,believing to be true meanings,
2-5-2-pUNdavaththam,mANdu,being finished,
2-5-2-pUNdavaththam,avaththam,useless,
2-5-2-pUNdavaththam,pOgAmal,not becoming,
2-5-2-pUNdavaththam,vammin,come (to become liberated);,
2-5-2-pUNdavaththam,endhai,being my father,
2-5-2-pUNdavaththam,en,for those who are like me,
2-5-2-pUNdavaththam,vaNangap paduvAnai,one who is easily approachable and surrendered to,
2-5-2-pUNdavaththam,kaNangaL,by the groups of wise people,
2-5-2-pUNdavaththam,Eththum,one who is praised,
2-5-2-pUNdavaththam,nINda aththai,being that entity which is inconceivable,
2-5-2-pUNdavaththam,karumugilai,one who has dark cloud like complexion,
2-5-2-pUNdavaththam,ninRavUr,in thiruninRavUr,
2-5-2-pUNdavaththam,niththilaththai,one who has a cool form like a collection of pearls,
2-5-2-pUNdavaththam,thoththu,flower bunches,
2-5-2-pUNdavaththam,Ar,being abundant,
2-5-2-pUNdavaththam,sOlai,having garden,
2-5-2-pUNdavaththam,kANdavaththai,kANdava forest,
2-5-2-pUNdavaththam,kanal,shining,
2-5-2-pUNdavaththam,eri,fire-s,
2-5-2-pUNdavaththam,vAy,in the mouth,
2-5-2-pUNdavaththam,peyviththAnai,one who made to enter,
2-5-2-pUNdavaththam,emmAn thannai,sarvESvaran,
2-5-2-pUNdavaththam,thalasayanam,sthala sayanam (where he rests on the ground),
2-5-2-pUNdavaththam,kadal mallai,in thirukkadalmallai,
2-5-2-pUNdavaththam,nAn kaNdadhu,I got to see,
2-5-3-udamburuvil,udambu,body-s,
2-5-3-udamburuvil,uruvil,in the form,
2-5-3-udamburuvil,mUnRu,three,
2-5-3-udamburuvil,ulagu uyya,for the protection of the world,
2-5-3-udamburuvil,onRAy,in a singular form,
2-5-3-udamburuvil,mUrththi,true nature,
2-5-3-udamburuvil,vERAy,being different,
2-5-3-udamburuvil,ninRAnai,one who stands,
2-5-3-udamburuvil,anRu,during krishNAvathAram,
2-5-3-udamburuvil,pEychchi,pUthanA-s,
2-5-3-udamburuvil,vidam,poisonous milk,
2-5-3-udamburuvil,parugu,one who drank,
2-5-3-udamburuvil,viththaganai,amazing,
2-5-3-udamburuvil,kanRu,calves,
2-5-3-udamburuvil,mEyththu,tended,
2-5-3-udamburuvil,viLaiyAda vallAnai,one who incarnated to play,
2-5-3-udamburuvil,varaimI,atop the hill,
2-5-3-udamburuvil,kAnil,in the forests,
2-5-3-udamburuvil,thadam,"in the ponds, to train the calves to drink water, he would demonstrate that by folding his hands in the back",
2-5-3-udamburuvil,parugu,one who mercifully drinks water,
2-5-3-udamburuvil,karumugilai,one who resembles a dark cloud,
2-5-3-udamburuvil,thanjaik kOyil,one who is mercifully present in thanjaimAmaNikkOyil,
2-5-3-udamburuvil,thava neRikku,among the upAyams (means) (which are pursued to attain him),
2-5-3-udamburuvil,Or peru neRiyai,one who remains the greatest means,
2-5-3-udamburuvil,vaiyam,all the worlds,
2-5-3-udamburuvil,kAkkum,to protect,
2-5-3-udamburuvil,kadu,having great speed,
2-5-3-udamburuvil,pari mEl,on the horse,
2-5-3-udamburuvil,kaRkiyai,one who mercifully incarnated as kalki,
2-5-3-udamburuvil,kadi,guarded,
2-5-3-udamburuvil,pozhil,garden,
2-5-3-udamburuvil,sUzh,surrounded,
2-5-3-udamburuvil,thalasayanam,sthala sayanam (where he rests on the ground),
2-5-3-udamburuvil,kadal mallai,in thirukkadalmallai,
2-5-3-udamburuvil,nAn kaNdu koNdEn,I got to see,
2-5-4-pEyth thAyai,thAy,in the disguise of mother,
2-5-4-pEyth thAyai,pEyai,pUthanA-s,
2-5-4-pEyth thAyai,mulai,bosom,
2-5-4-pEyth thAyai,uNda,mercifully consumed,
2-5-4-pEyth thAyai,piLLai thannai,being a child,
2-5-4-pEyth thAyai,piNai,joined to each other,
2-5-4-pEyth thAyai,maruppil,tusk-s,
2-5-4-pEyth thAyai,karu,dark,
2-5-4-pEyth thAyai,kaLiRRai,one who is similar to an elephant,
2-5-4-pEyth thAyai,mAn piNai,like a doe,
2-5-4-pEyth thAyai,nOkkil,having eyes,
2-5-4-pEyth thAyai,AyththAyar,"yaSOdha, the cowherd mother, her",
2-5-4-pEyth thAyai,thayir,curd,
2-5-4-pEyth thAyai,veNNey,mercifully consuming the butter,
2-5-4-pEyth thAyai,amarndha,sustained himself,
2-5-4-pEyth thAyai,kOvai,being the controller,
2-5-4-pEyth thAyai,andhaNar tham,for brAhmaNas,
2-5-4-pEyth thAyai,amudhaththai,one who is enjoyable like nectar,
2-5-4-pEyth thAyai,munnE,previously,
2-5-4-pEyth thAyai,kuravai kOththAnai,one who held the hands of the girls and played with them (further),
2-5-4-pEyth thAyai,kudam Adu,one who danced with pots,
2-5-4-pEyth thAyai,kUththan thannai,having grand activities (when indhra rained due to anger of hunger),
2-5-4-pEyth thAyai,kOkulangaL,herds of cows,
2-5-4-pEyth thAyai,thaLarAmal,to not suffer,
2-5-4-pEyth thAyai,kunRam,gOvardhana hill,
2-5-4-pEyth thAyai,Endhi,held,
2-5-4-pEyth thAyai,kAththAnai,one who protected,
2-5-4-pEyth thAyai,emmAnai,sarvESvaran who enslaved us,
2-5-4-pEyth thAyai,kadi,fragrant,
2-5-4-pEyth thAyai,pozhil,by garden,
2-5-4-pEyth thAyai,sUzh,surrounded,
2-5-4-pEyth thAyai,thalasayanaththu,in sthala sayanam (where he rests on the ground),
2-5-4-pEyth thAyai,kadal mallai,in thirukkadalmallai,
2-5-4-pEyth thAyai,nAn kaNdadhu,I got to see,
2-5-5-pAyndhAnai,thiri,rolling,
2-5-5-pAyndhAnai,sagadam,chakatAsuran,
2-5-5-pAyndhAnai,pARi,become pieces,
2-5-5-pAyndhAnai,vIzha,to fall (by the divine feet),
2-5-5-pAyndhAnai,pAyndhAnai,one who kicked,
2-5-5-pAyndhAnai,bAlaganAy,being a small child,
2-5-5-pAyndhAnai,Alilaiyil,in peepal leaf,
2-5-5-pAyndhAnai,paLLi inbam,bliss of sleeping,
2-5-5-pAyndhAnai,EyndhAnai,one who enjoyed,
2-5-5-pAyndhAnai,ilangu oLi,great shine,
2-5-5-pAyndhAnai,sEr,having,
2-5-5-pAyndhAnai,maNikkunRu anna,having beauty like that of a jewel hill,
2-5-5-pAyndhAnai,mAl,huge,
2-5-5-pAyndhAnai,varai,strong like a mountain,
2-5-5-pAyndhAnai,IriraNdu thOL,having four divine shoulders,
2-5-5-pAyndhAnai,ammAn thannai,being the lord of all;,
2-5-5-pAyndhAnai,nila magaL thOL,with the divine shoulder of SrI bhUmip pirAtti,
2-5-5-pAyndhAnai,thOyndhAnai,one who mingled,
2-5-5-pAyndhAnai,thUdhil senRu,going as the messenger of pANdavas,
2-5-5-pAyndhAnai,poy,the mischievous throne placed by dhuryOdhana in,
2-5-5-pAyndhAnai,avvaRai vAy puga,to make krishNa enter in that room beneath the ground and harm him,
2-5-5-pAyndhAnai,peydha,already discussed and arranged,
2-5-5-pAyndhAnai,malllar,group of wrestlers,
2-5-5-pAyndhAnai,manga,to finish,
2-5-5-pAyndhAnai,kAyndhAnai,one who mercifully showed anger,
2-5-5-pAyndhAnai,emmAnai,one who is my lord,
2-5-5-pAyndhAnai,kadi,fragrant,
2-5-5-pAyndhAnai,pozhil,by garden,
2-5-5-pAyndhAnai,sUzh,surrounded,
2-5-5-pAyndhAnai,thalasayanaththu,in sthala sayanam (where he rests on the ground),
2-5-5-pAyndhAnai,kadal mallai,in thirukkadalmallai,
2-5-5-pAyndhAnai,nAn kaNdadhu,I got to see,
2-5-6-kidandhAnai,thadam,vast,
2-5-6-kidandhAnai,kadaluL,in thiruppARkadal (milk ocean),
2-5-6-kidandhAnai,paNangaL,under the hoods of AdhiSEshan,
2-5-6-kidandhAnai,mEvi,remaining firm,
2-5-6-kidandhAnai,kidandhAnai,one who mercifully rested,
2-5-6-kidandhAnai,kiLar,cheerfully,
2-5-6-kidandhAnai,poRiya,having dots in many colours,
2-5-6-kidandhAnai,maRi,fawn,
2-5-6-kidandhAnai,thiriya,as it roams around here and there,
2-5-6-kidandhAnai,adhanin pinnE,behind it,
2-5-6-kidandhAnai,padarndhAnai,one who went,
2-5-6-kidandhAnai,padu,flowing,
2-5-6-kidandhAnai,madhaththa,having water of exultation,
2-5-6-kidandhAnai,kaLiRRin,kuvalayApIdam-s (elephant),
2-5-6-kidandhAnai,kombu,tusk,
2-5-6-kidandhAnai,paRiththAnai,one who plucked and threw,
2-5-6-kidandhAnai,vaLai,curved,
2-5-6-kidandhAnai,maruppin,having horn,
2-5-6-kidandhAnai,EnamAgi,being varAha,
2-5-6-kidandhAnai,idam pArai,vast earth,
2-5-6-kidandhAnai,eyiRu,with his divine tooth,
2-5-6-kidandhAnai,kIRa,to tear,
2-5-6-kidandhAnai,idandhAnai,one who released it,
2-5-6-kidandhAnai,iru nilanum,the vast earth,
2-5-6-kidandhAnai,peru visumbum,the vast sky,
2-5-6-kidandhAnai,eydhA vaNNam,grew to become insufficient,
2-5-6-kidandhAnai,kadandhAnai,one who measured the worlds with his divine feet and accepted,
2-5-6-kidandhAnai,emmAnai,sarvESvaran who enslaved me,
2-5-6-kidandhAnai,kadi,fragrant,
2-5-6-kidandhAnai,pozhil,by garden,
2-5-6-kidandhAnai,sUzh,surrounded,
2-5-6-kidandhAnai,thalasayanaththu,in sthala sayanam (where he rests on the ground),
2-5-6-kidandhAnai,kadal mallai,in thirukkadalmallai,
2-5-6-kidandhAnai,nAn kaNdu koNdEn,I got to see,
2-5-7-pENAdha vali arakkar,anRu,when rAvaNa crossed his limits,
2-5-7-pENAdha vali arakkar,pENAdha,those did not respect SrI rAma to be sarvESvaran,
2-5-7-pENAdha vali arakkar,vali,strong,
2-5-7-pENAdha vali arakkar,arakkar,rAkshasas,
2-5-7-pENAdha vali arakkar,peru,huge,
2-5-7-pENAdha vali arakkar,varai,mountain like,
2-5-7-pENAdha vali arakkar,thOL,shoulders,
2-5-7-pENAdha vali arakkar,iRa,to break,
2-5-7-pENAdha vali arakkar,neriththu,embraced,
2-5-7-pENAdha vali arakkar,anRu,when his devotee prahlAdha was harmed,
2-5-7-pENAdha vali arakkar,avuNar kOnai,"the leader of demons, hiraNya, his",
2-5-7-pENAdha vali arakkar,pUN,decorated with ornaments,
2-5-7-pENAdha vali arakkar,Agam,chest,
2-5-7-pENAdha vali arakkar,pOr,in the battle,
2-5-7-pENAdha vali arakkar,piLaveduththa,one who split and threw,
2-5-7-pENAdha vali arakkar,vallOnai,one who is capable,
2-5-7-pENAdha vali arakkar,poru,having rising waves,
2-5-7-pENAdha vali arakkar,kadaluL,in thiruppARkadal (milk ocean),
2-5-7-pENAdha vali arakkar,thuyil amarndha,being the one who mercifully rested,
2-5-7-pENAdha vali arakkar,puL Urdhiyai,being the one who rides garuda,
2-5-7-pENAdha vali arakkar,pEy mulai,present in pUthanA-s bosom,
2-5-7-pENAdha vali arakkar,nanju,poison,
2-5-7-pENAdha vali arakkar,UNAga,as food which sustains him,
2-5-7-pENAdha vali arakkar,uNdAn thannai,being the one who mercifully consumed,
2-5-7-pENAdha vali arakkar,uLLuvAr,those who become immersed in him by thinking about his killing of pUthanA,
2-5-7-pENAdha vali arakkar,uLLaththu,in the heart,
2-5-7-pENAdha vali arakkar,uRaiginRAnai,one who remains firmly,
2-5-7-pENAdha vali arakkar,kANAdhu,without seeing,
2-5-7-pENAdha vali arakkar,thiridharuvEn nAn,I who searched,
2-5-7-pENAdha vali arakkar,kadi,fragrant,
2-5-7-pENAdha vali arakkar,pozhil,by garden,
2-5-7-pENAdha vali arakkar,sUzh,surrounded,
2-5-7-pENAdha vali arakkar,thalasayanaththu,in sthala sayanam (where he rests on the ground),
2-5-7-pENAdha vali arakkar,kadal mallai,in thirukkadalmallai,
2-5-7-pENAdha vali arakkar,nAn kaNdu koNdEn,I got to see,
2-5-8-peNNAgi innamudham,in,sweet,
2-5-8-peNNAgi innamudham,amudham,nectar (to be not consumed by demons),
2-5-8-peNNAgi innamudham,peN Agi,assuming a feminine form,
2-5-8-peNNAgi innamudham,vanjiththAnai,one who cheated them,
2-5-8-peNNAgi innamudham,anRu,when prahlAdha was tormented by hiraNya,
2-5-8-peNNAgi innamudham,piRai,resembling a crescent moon,
2-5-8-peNNAgi innamudham,eyiRu,teeth,
2-5-8-peNNAgi innamudham,adal,strong,
2-5-8-peNNAgi innamudham,ariyAy,being narasimha,
2-5-8-peNNAgi innamudham,peruginAnai,one who grew,
2-5-8-peNNAgi innamudham,thaN Arndha,cool,
2-5-8-peNNAgi innamudham,vAr,flowing,
2-5-8-peNNAgi innamudham,punal,by water,
2-5-8-peNNAgi innamudham,sUzh,surrounded by,
2-5-8-peNNAgi innamudham,meyyam ennum,known as thirumeyyam,
2-5-8-peNNAgi innamudham,thada varai mEl,on the huge hill,
2-5-8-peNNAgi innamudham,paNangaL,on thiruvananthAzhwAn,
2-5-8-peNNAgi innamudham,mEvi,firmly,
2-5-8-peNNAgi innamudham,kidandhAnai,one who mercifully reclined,
2-5-8-peNNAgi innamudham,eNNAnai,one who is thought about by everyone,
2-5-8-peNNAgi innamudham,eN iRandha,unlimited,
2-5-8-peNNAgi innamudham,pugazhinAnai,"one who is having divine, auspicious qualities",
2-5-8-peNNAgi innamudham,ilangu oLi sEr,having great radiance,
2-5-8-peNNAgi innamudham,aravindham pOnRu,vast like lotus petal,
2-5-8-peNNAgi innamudham,nINda,wide,
2-5-8-peNNAgi innamudham,kaNNAnai,one who is having divine eyes,
2-5-8-peNNAgi innamudham,kaN Ara,to quench the thirst of the eyes,
2-5-8-peNNAgi innamudham,kadi,fragrant,
2-5-8-peNNAgi innamudham,pozhil,by garden,
2-5-8-peNNAgi innamudham,sUzh,surrounded,
2-5-8-peNNAgi innamudham,thalasayanaththu,in sthala sayanam (where he rests on the ground),
2-5-8-peNNAgi innamudham,kadal mallai,in thirukkadalmallai,
2-5-8-peNNAgi innamudham,kaNdu koNdEn,I got to see,
2-5-9-thoNdAyAr,thoNdu AyAr thAm,servitors who have special knowledge,
2-5-9-thoNdAyAr,paravum,to praise,
2-5-9-thoNdAyAr,adiyinAnai,one who is having divine feet,
2-5-9-thoNdAyAr,padi,earth,
2-5-9-thoNdAyAr,kadandha,measured,
2-5-9-thoNdAyAr,thAL ALarkku,for the one who has divine feet,
2-5-9-thoNdAyAr,ALAy,serving,
2-5-9-thoNdAyAr,uydhal,remaining firm in that principle of uplifting,
2-5-9-thoNdAyAr,viNdAnai,being different,
2-5-9-thoNdAyAr,then,remaining in southern direction,
2-5-9-thoNdAyAr,ilangai,in lankA,
2-5-9-thoNdAyAr,arakkar,of rAkshasas,
2-5-9-thoNdAyAr,vEndhai,rAvaNa who is the king,
2-5-9-thoNdAyAr,vilangu,animals,
2-5-9-thoNdAyAr,uNNa,to feed on,
2-5-9-thoNdAyAr,valangaivAy,with the right hand,
2-5-9-thoNdAyAr,sarangaL,arrows,
2-5-9-thoNdAyAr,ANdu,one mercifully shot,
2-5-9-thoNdAyAr,paNdu Aya,eternal,
2-5-9-thoNdAyAr,nAngu vEdhangaLum,four vEdhams,
2-5-9-thoNdAyAr,aindhu vELvigaLum,five great sacrifices,
2-5-9-thoNdAyAr,kELviyOdu,along with the instruction from preceptor,
2-5-9-thoNdAyAr,ARu angamum,six auxiliary subjects,
2-5-9-thoNdAyAr,kaNdAnai,one who placed (as means to attain him with the help of knowledge from scriptures),
2-5-9-thoNdAyAr,thoNdanEn,I who am a servitor,
2-5-9-thoNdAyAr,kadi,fragrant,
2-5-9-thoNdAyAr,pozhil,by garden,
2-5-9-thoNdAyAr,sUzh,surrounded,
2-5-9-thoNdAyAr,thalasayanaththu,in sthala sayanam (where he rests on the ground),
2-5-9-thoNdAyAr,kadal mallai,in thirukkadalmallai,
2-5-9-thoNdAyAr,kaNdu koNdEn,I got to see,
2-5-10-pada nAgaththaNai,padam,hooded,
2-5-10-pada nAgaththaNai,nAgam,thiruvananthAzhwAn,
2-5-10-pada nAgaththaNai,aNai,having as mattress,
2-5-10-pada nAgaththaNai,kidandhu,one who mercifully reclined,
2-5-10-pada nAgaththaNai,anRu,when prahlAdha vowed,
2-5-10-pada nAgaththaNai,avuNar kOnai,"hiraNya, king of demons",
2-5-10-pada nAgaththaNai,pada,to be killed,
2-5-10-pada nAgaththaNai,veguNdu,one who mercifully showed his anger,
2-5-10-pada nAgaththaNai,marudhu idai,in between two marudha trees,
2-5-10-pada nAgaththaNai,pOy,one who crawled,
2-5-10-pada nAgaththaNai,pazhanam,water bodies,
2-5-10-pada nAgaththaNai,vEli,having all around,
2-5-10-pada nAgaththaNai,thadam,by ponds,
2-5-10-pada nAgaththaNai,Arndha,filled,
2-5-10-pada nAgaththaNai,kadal mallai,in thirukkadalmallai,
2-5-10-pada nAgaththaNai,thala sayanaththu,having the ground as his mattress,
2-5-10-pada nAgaththaNai,thAmaraik kaN thuyil amarndha,one who mercifully rested revealing his lotus-eyed nature,
2-5-10-pada nAgaththaNai,thalaivar thammai,on sarvESvaran,
2-5-10-pada nAgaththaNai,kadam Arum,very mad,
2-5-10-pada nAgaththaNai,karum kaLiRu,huge elephant,
2-5-10-pada nAgaththaNai,vallAn,one who can ride,
2-5-10-pada nAgaththaNai,pOr,in battle,
2-5-10-pada nAgaththaNai,vel,one who can win over the enemies,
2-5-10-pada nAgaththaNai,kali kanRi,AzhwAr who removed the defects of kali yugam,
2-5-10-pada nAgaththaNai,oli seydha,mercifully spoke to have garlands of words,
2-5-10-pada nAgaththaNai,inbam,that which causes joy,
2-5-10-pada nAgaththaNai,ivai aindhum aindhu pAdalum,this decad,
2-5-10-pada nAgaththaNai,vallAr,those who can learn with meanings,
2-5-10-pada nAgaththaNai,thI vinaiyai,sins,
2-5-10-pada nAgaththaNai,thAmE,on their own,
2-5-10-pada nAgaththaNai,thidamAga,certainly,
2-5-10-pada nAgaththaNai,mudhal ariya,to remove with the traces,
2-5-10-pada nAgaththaNai,vallAr,will become capable.,
2-6-1-naNNAdha,naNNAdha,those who did not approach him,
2-6-1-naNNAdha,vAL,having sword,
2-6-1-naNNAdha,avuNaridai,amidst the asuras (demons),
2-6-1-naNNAdha,peNNAgip pukku,entering with a feminine disguise,
2-6-1-naNNAdha,vAnavarai,dhEvas (saintly persons),
2-6-1-naNNAdha,amudhu Uttum,one who feeds nectar,
2-6-1-naNNAdha,perumAnAr,having greatness,
2-6-1-naNNAdha,maruva,to remain firmly,
2-6-1-naNNAdha,iniya,being an enjoyable abode,
2-6-1-naNNAdha,thaN Arndha,remaining cool always,
2-6-1-naNNAdha,kadal,present on the seashore,
2-6-1-naNNAdha,mallai,in SrI mallApuri,
2-6-1-naNNAdha,thala sayanaththu,on the divine mattress which is the ground,
2-6-1-naNNAdha,uRaivArai,one who mercifully reclines,
2-6-1-naNNAdha,eNNAdhu,without thinking about,
2-6-1-naNNAdha,iruppArai,those who remain in that dhivyadhESam,
2-6-1-naNNAdha,iRaippozhudhum,even for a moment,
2-6-1-naNNAdha,eNNOm,we will not think about,
2-6-2-pAr vaNNa,pAr vaNNam,having earth as her form,
2-6-2-pAr vaNNa,madam,having noble qualities,
2-6-2-pAr vaNNa,mangai,SrI bhUmip pirAtti,
2-6-2-pAr vaNNa,nIr vaNNan,nIrvaNNan-s (the one who is as cool as ocean),
2-6-2-pAr vaNNa,irukkaiyai,being seated (on his left side),
2-6-2-pAr vaNNa,pani,cool,
2-6-2-pAr vaNNa,nal,beautiful,
2-6-2-pAr vaNNa,mA,best,
2-6-2-pAr vaNNa,malark kizhaththi,periya pirAtti (SrI mahAlakshmi) who is having reddish lotus flower as her birth place,
2-6-2-pAr vaNNa,mArvagaththil irukkaiyai,being seated on the right side of his divine chest,
2-6-2-pAr vaNNa,mun,first,
2-6-2-pAr vaNNa,ninaindhu,thought,
2-6-2-pAr vaNNa,avan,"bhagavAn for whom even purushakAram (recommendation) is excessive, his",
2-6-2-pAr vaNNa,Ur,being the town,
2-6-2-pAr vaNNa,kAr vaNNam,having black complexion,
2-6-2-pAr vaNNa,mudhu,ancient,
2-6-2-pAr vaNNa,mun nIr,near the ocean,
2-6-2-pAr vaNNa,kadal mallai,in thirukkadalamallai,
2-6-2-pAr vaNNa,thalasayanam,reclining on the ground,
2-6-2-pAr vaNNa,eNNum nenju udaiyAr Ar,those who have the minds which meditate on,
2-6-2-pAr vaNNa,avar,them,
2-6-2-pAr vaNNa,emmai,us,
2-6-2-pAr vaNNa,ALvAr,can rule.,
2-6-3-Enaththin uruvAgi,Enaththin uruvAgi,Being in the form of varAha,
2-6-3-Enaththin uruvAgi,nilamangai,SrI bhUmippirAtti-s,
2-6-3-Enaththin uruvAgi,ezhil,(without disturbing the) beauty,
2-6-3-Enaththin uruvAgi,koNdAn,freed the connection (from the wall of the universe) and accepted,
2-6-3-Enaththin uruvAgi,vAnaththil avar,dhEvathAs such as brahmA et al,
2-6-3-Enaththin uruvAgi,muRaiyAl,as per their respective position,
2-6-3-Enaththin uruvAgi,magizhndhu,being joyful,
2-6-3-Enaththin uruvAgi,Eththi,praise,
2-6-3-Enaththin uruvAgi,valam koLLa,to serve favourably,
2-6-3-Enaththin uruvAgi,kAnaththin,forest (in the western side),
2-6-3-Enaththin uruvAgi,kadal,having ocean (in the eastern side),
2-6-3-Enaththin uruvAgi,mallai,in mallApuri,
2-6-3-Enaththin uruvAgi,thala sayanaththu,in sthalasayanam,
2-6-3-Enaththin uruvAgi,uRaiginRa,mercifully reclining,
2-6-3-Enaththin uruvAgi,gyAnaththin oLi uruvai,one who has a luminous form revealing knowledge,
2-6-3-Enaththin uruvAgi,ninaivAr,those who meditate upon,
2-6-3-Enaththin uruvAgi,en,for me,
2-6-3-Enaththin uruvAgi,nAyagar,will be lords,
2-6-4-viNdArai,viNdArai,enemies,
2-6-4-viNdArai,venRu,destroyed (their),
2-6-4-viNdArai,Avi,body,
2-6-4-viNdArai,vilangu,"animals such as dogs, jackals etc",
2-6-4-viNdArai,uNNa,to eat,
2-6-4-viNdArai,mel iyalAr,tender natured women,
2-6-4-viNdArai,koNdu,desirously,
2-6-4-viNdArai,Adum,to embrace,
2-6-4-viNdArai,mal,strong,
2-6-4-viNdArai,agalam,(rAvaNa-s) chest,
2-6-4-viNdArai,azhal,fire,
2-6-4-viNdArai,ERa,to catch (and consume),
2-6-4-viNdArai,venjamaththu,in the cruel battle,
2-6-4-viNdArai,kaNdArai,one who saw (to eliminate that fatigue),
2-6-4-viNdArai,kadal mallaith thala sayanaththu,one who is mercifully reclining in sthalasayanam in thirukkadalmallai,
2-6-4-viNdArai,koNdAdum nejudaiyAr,those who are having in their heart and cherish that,
2-6-4-viNdArai,avar,them,
2-6-4-viNdArai,engaL kula dheyvam,are the lords for our clan,
2-6-5-pichchach chiRu peeli,pichcham,bunch of peacock wings,
2-6-5-pichchach chiRu peeli,siRu,small,
2-6-5-pichchach chiRu peeli,peeli,having peacock feather,
2-6-5-pichchach chiRu peeli,samaN guNdar,the lowly amaNas (jainas),
2-6-5-pichchach chiRu peeli,mudhalAyOr,et al,
2-6-5-pichchach chiRu peeli,vichchaikku,for all knowledge,
2-6-5-pichchach chiRu peeli,iRai ennum,will have someone as the controller;,
2-6-5-pichchach chiRu peeli,avviRaiyai,such person who is established by them,
2-6-5-pichchach chiRu peeli,paNiyAdhu,without surrendering unto,
2-6-5-pichchach chiRu peeli,(for the sake of devotees),,
2-6-5-pichchach chiRu peeli,kachchi,in thiruvehkA,
2-6-5-pichchach chiRu peeli,kidandhavan,one who is mercifully reclining in,
2-6-5-pichchach chiRu peeli,Ur,"the abode (where emperumAn arrived for the sake of his devotee, puNdarIka)",
2-6-5-pichchach chiRu peeli,kadal mallaith thala sayanam,(mercifully reclining) in sthalasayanam in thirukkadalmallai,
2-6-5-pichchach chiRu peeli,nachchi,desiring,
2-6-5-pichchach chiRu peeli,thozhuvArai,those who worship,
2-6-5-pichchach chiRu peeli,endhan,my,
2-6-5-pichchach chiRu peeli,nenjE,Oh mind!,
2-6-5-pichchach chiRu peeli,nachchu,(you too) desire and worship,
2-6-6-pulankoL,pulan,senses,
2-6-6-pulankoL,koL,that which captivates,
2-6-6-pulankoL,nidhik kuvaiyOdu,along with heap of gold,
2-6-6-pulankoL,puzhai,having hole,
2-6-6-pulankoL,kai,having hand [trunk],
2-6-6-pulankoL,mA,huge,
2-6-6-pulankoL,kaLiRRinamum,herd of elephants,
2-6-6-pulankoL,nalam koL,good,
2-6-6-pulankoL,nava maNik kuvaiyum,collection of nine types of gems,
2-6-6-pulankoL,sumandhu,carrying,
2-6-6-pulankoL,engum,wherever seen (due to the weight of the loaded materials),
2-6-6-pulankoL,nAnRu,lowered,
2-6-6-pulankoL,osindhu,swaying,
2-6-6-pulankoL,kalangaL,boats,
2-6-6-pulankoL,iyangum,moving around,
2-6-6-pulankoL,mallai,greatness,
2-6-6-pulankoL,kadal mallaith thala sayanam,one who is mercifully reclining on the ground in thirukkadalmallai,
2-6-6-pulankoL,valam koL manaththAr avarai,those who consider circum-ambulating him matches their true nature,
2-6-6-pulankoL,en mada nenjE,Oh my obedient mind!,
2-6-6-pulankoL,valam koL,You circumambulate them and be uplifted,
2-6-7-panjich chiRu kUzhai,panji,soft like cotton,
2-6-7-panjich chiRu kUzhai,siRu,small,
2-6-7-panjich chiRu kUzhai,kUzhai,having hair,
2-6-7-panjich chiRu kUzhai,uruvAgi,having a form,
2-6-7-panjich chiRu kUzhai,maruvAdha,not aligning,
2-6-7-panjich chiRu kUzhai,vanjam,having mischief,
2-6-7-panjich chiRu kUzhai,peN,pUthanA-s,
2-6-7-panjich chiRu kUzhai,nanju,poison in her bosom,
